1024 102438
1 1 2.2183320839072547
1 2 0.0013656077370732362
1 6 0.08862139057400521
1 7 0.0035081915323171547
1 13 0.0003896330934329167
1 21 0.058225458993209536
1 24 0.0025434824161945898
1 26 0.0029616644349498918
1 31 0.004174422170840267
1 40 0.15202994581044524
1 45 0.691700461987049
1 50 0.07771054161211917
1 58 0.05324109408220919
1 60 0.007783653786250723
1 70 0.060417409644340316
1 73 0.013365180864583038
1 95 0.011292735844559402
1 96 0.00032155843834718976
1 105 0.015606253226576161
1 113 0.0017738571023792895
1 114 0.07961796766456139
1 118 5.802934594186351e-05
1 133 0.0004294115776885072
1 164 0.008109562538734112
1 166 0.0012834035059117574
1 178 0.02591535229724384
1 194 0.19909440989940114
1 200 0.0013498540826979851
1 205 4.7508994908120075e-05
1 211 0.0002052693202198815
1 215 0.053272241942331315
1 221 0.0006515700035354109
1 229 0.05123021025703799
1 232 0.05331512091598003
1 242 0.14341967843264572
1 245 0.9129463936414743
1 249 0.04650716764272816
1 254 0.07869024959640547
1 258 0.150239257418361
1 259 0.11516902010261415
1 290 0.0007756143378436374
1 302 0.025190792191620726
1 307 5.933497307890745e-08
1 316 0.0901971801709119
1 319 0.47521675291544874
1 329 0.2794706215612384
1 336 0.15491678399678296
1 338 0.00231394352457379
1 346 0.08084151067633426
1 349 0.0014090294839177644
1 370 0.04431588246075987
1 371 0.001598249991210263
1 399 0.0003675402356703127
1 400 0.09246626455572592
1 401 0.037468211440662466
1 406 0.05863732905434513
1 422 0.0006090752473474522
1 424 0.00039983268435070103
1 433 0.002380760004934212
1 438 0.020484187895041115
1 440 0.026791543510082186
1 442 0.0003723907098816669
1 449 0.3403598224351796
1 454 0.0012099640518098923
1 455 0.1636310157967229
1 456 3.785764900828385e-05
1 458 5.919241161047537e-05
1 470 0.0013353469732230732
1 472 0.0010300078517958028
1 480 0.023777155040789075
1 483 0.0008913650036378618
1 486 0.001288221596023231
1 499 0.14078444161893908
1 507 0.16498155294069278
1 535 9.488905650338648e-05
1 539 0.010428131777036933
1 540 0.03160260017428988
1 541 0.0010946424424822987
1 542 0.05795690773546427
